"","N_lambda","N_mu","N_both","N_lambda_ratio","N_mu_ratio","N_both_ratio","N_sum","type","tree_index","ntip"
"88",2.09970264900014,2.0146377883437,9.07635318354639,0.159180609401375,0.152731755148425,0.6880876354502,13.1906936208902,"estimate, all pooled",91,566
"89",1.96689331595293e-06,2.43334476049388e-06,1.07714793354475e-05,0.129642100663629,0.16038690244693,0.709970996889441,1.51717174118943e-05,"estimate, all pooled",92,228
"90",0.141465072832611,0.139502021302055,0.630481581112298,0.155209038835105,0.15305526804815,0.691735693116745,0.911448675246964,"estimate, all pooled",93,139
"91",4.53835561324552,4.68690061154103,21.1393603917365,0.149461976436612,0.154354019045662,0.696184004517726,30.3646166165231,"estimate, all pooled",94,198
"92",0.000922910558554232,0.000533792777734721,0.00297719167790131,0.208148942543868,0.120389133262373,0.671461924193759,0.00443389501419026,"estimate, all pooled",95,701
"93",5.09540807258485,7.31799817841055,33.0755708834481,0.112014127236259,0.160874098284999,0.727111774478741,45.4889771344435,"estimate, all pooled",96,910
"94",1.43981791424874,1.69760774772897,7.57455093827631,0.134411973436779,0.158477544442052,0.70711048212117,10.711976600254,"estimate, all pooled",97,790
"95",0.475062942421751,0.545263398659847,2.32359025588076,0.142067820367679,0.163061303369578,0.694870876262743,3.34391659696236,"estimate, all pooled",98,457
"96",1.10665734049225e-06,2.06829657167891e-06,9.86224676579746e-06,0.0848845828048329,0.158645757073763,0.756469660121404,1.30372006779686e-05,"estimate, all pooled",99,177
"97",0.546211685356874,0.353494664644155,1.79916697216861,0.202385077087564,0.130978605679787,0.666636317232648,2.69887332216964,"estimate, all pooled",100,216
"98",0.830661302745816,1.01326114670889,4.21395674213417,0.137120810183728,0.167263346571151,0.695615843245121,6.05787919158887,"estimate, all pooled",101,339
"99",0.00110510218644246,0.00111937161867323,0.00499207759131665,0.153134388676119,0.155111708790242,0.691753902533638,0.00721655139643234,"estimate, all pooled",102,644
"100",3.21037489631562e-06,3.89379150385687e-06,1.65646236643678e-05,0.135637473971485,0.164511641416364,0.699850884612151,2.36687900645403e-05,"estimate, all pooled",103,459
"101",4.05540526495011e-06,5.06116614493816e-06,2.095091267023e-05,0.134876774330171,0.168326891982452,0.696796333687377,3.00674840801182e-05,"estimate, all pooled",104,532
"102",2.33212632567264,2.41083145265216,10.5094305037121,0.152902370602461,0.158062554406083,0.689035074991455,15.2523882820369,"estimate, all pooled",105,650
